,school,sex,age,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor
0,GP,F,18,4,4,mother,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,GP,F,17,1,1,father,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2,GP,F,15,1,1,mother,1,2,0,1,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,GP,F,15,4,2,mother,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
4,GP,F,16,3,3,father,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
5,GP,M,16,4,3,mother,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
6,GP,M,16,2,2,mother,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,GP,F,17,4,4,mother,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,GP,M,15,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,GP,M,15,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
10,GP,F,15,4,4,mother,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
11,GP,F,15,2,1,father,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
12,GP,M,15,4,4,father,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
13,GP,M,15,4,3,mother,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
14,GP,M,15,2,2,other,1,3,0,0,1,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,GP,F,16,4,4,mother,1,1,0,0,1,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
16,GP,F,16,4,4,mother,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
17,GP,F,16,3,3,mother,3,2,0,1,1,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
18,GP,M,17,3,2,mother,1,1,3,0,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1
19,GP,M,16,4,3,father,1,1,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
20,GP,M,15,4,3,mother,1,2,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
21,GP,M,15,4,4,father,1,1,0,0,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
22,GP,M,16,4,2,mother,1,2,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,GP,M,16,2,2,mother,2,2,0,0,1,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,GP,F,15,2,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
25,GP,F,16,2,2,mother,1,1,0,0,1,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
26,GP,M,15,2,2,mother,1,1,0,0,1,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
27,GP,M,15,4,2,mother,1,1,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
28,GP,M,16,3,4,mother,1,2,0,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
29,GP,M,16,4,4,mother,1,2,0,0,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1
30,GP,M,15,4,4,mother,1,2,0,0,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
31,GP,M,15,4,4,mother,2,2,0,0,1,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
32,GP,M,15,4,3,mother,1,2,0,0,1,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
33,GP,M,15,3,3,mother,1,2,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,GP,M,16,3,2,mother,1,1,0,0,1,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
35,GP,F,15,2,3,father,2,1,0,0,1,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,GP,M,15,4,3,mother,1,3,0,0,1,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
37,GP,M,16,4,4,mother,2,3,0,0,1,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
38,GP,F,15,3,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
39,GP,F,15,2,2,mother,1,1,0,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
40,GP,F,16,2,2,mother,2,2,0,0,1,1,0,1,1,1,3,3,3,1,2,3,16,11,11,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,GP,M,15,4,4,other,1,1,0,0,1,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
42,GP,M,15,4,4,father,1,2,0,0,1,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
43,GP,M,15,2,2,father,1,1,0,1,1,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
44,GP,F,16,2,2,father,2,2,1,1,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11,11,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
45,GP,F,15,4,3,mother,1,2,0,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,GP,F,16,3,3,mother,1,2,0,0,1,0,1,1,1,0,2,3,5,1,4,3,6,13,12,13,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,GP,M,16,4,3,mother,1,4,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17,17,17,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
48,GP,M,15,4,2,mother,1,2,0,0,1,0,1,1,0,0,4,3,3,2,2,5,4,11,12,13,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
49,GP,F,15,4,4,father,1,2,0,1,1,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
50,GP,F,16,2,2,mother,3,2,0,0,1,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
51,GP,F,15,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52,GP,M,15,4,2,father,2,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,10,9,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
53,GP,F,15,4,4,mother,1,1,0,1,1,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
54,GP,F,15,3,3,mother,1,1,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,GP,F,16,2,1,mother,1,2,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,GP,F,15,4,3,mother,1,2,0,0,1,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
57,GP,M,15,4,4,mother,1,2,0,0,1,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
58,GP,M,15,1,2,father,1,2,0,1,1,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
59,GP,F,16,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
60,GP,F,16,4,4,mother,1,2,0,0,1,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
61,GP,F,16,1,1,father,4,1,0,1,1,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
62,GP,F,16,1,2,father,1,2,0,1,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
63,GP,F,16,4,3,mother,1,3,0,1,1,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
64,GP,F,15,4,3,father,1,2,0,1,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
