,school,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor,Testcol
0,GP,4,4,mother,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,16.0
1,GP,1,1,father,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,15.5
2,GP,1,1,mother,1,2,0,1,0,0,1,1,1,0,4,3,2,2,3,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.5
3,GP,4,2,mother,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,26.5
4,GP,3,3,father,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,21.5
5,GP,4,3,mother,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,6,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,28.75
6,GP,2,2,mother,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11.0
7,GP,4,4,mother,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,19.0
8,GP,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.25
9,GP,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,30.75
10,GP,4,4,mother,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,19.0
11,GP,2,1,father,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,23.75
12,GP,4,4,father,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,27.0
13,GP,4,3,mother,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,20.75
14,GP,2,2,other,1,3,0,0,1,0,1,1,1,1,4,5,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0
15,GP,4,4,mother,1,1,0,0,1,0,1,1,1,0,4,4,4,1,2,2,6,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,19.0
16,GP,4,4,mother,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,10,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,24.0
17,GP,3,3,mother,3,2,0,1,1,1,1,1,0,0,5,3,2,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,27.5
18,GP,3,2,mother,1,1,3,0,1,1,1,1,1,0,5,5,5,2,4,5,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,20.25
19,GP,4,3,father,1,1,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,19.75
20,GP,4,3,mother,1,2,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,15.75
21,GP,4,4,father,1,1,0,0,1,0,1,1,1,0,5,4,2,1,1,5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,26.0
22,GP,4,2,mother,1,2,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,21.5
23,GP,2,2,mother,2,2,0,0,1,1,1,1,1,0,5,4,4,2,4,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20.0
24,GP,2,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,27.5
25,GP,2,2,mother,1,1,0,0,1,0,0,1,1,0,1,2,2,1,3,5,6,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,15.0
26,GP,2,2,mother,1,1,0,0,1,0,1,1,1,0,4,2,2,1,2,5,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,19.0
27,GP,4,2,mother,1,1,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5.5
28,GP,3,4,mother,1,2,0,1,1,1,1,1,1,0,5,3,3,1,1,5,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,28.75
29,GP,4,4,mother,1,2,0,0,1,1,1,1,1,1,4,4,5,5,5,5,4,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,19.0
30,GP,4,4,mother,1,2,0,0,1,0,0,1,1,0,5,4,2,3,4,5,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,21.0
31,GP,4,4,mother,2,2,0,0,1,1,1,1,1,0,4,3,1,1,1,5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,31.0
32,GP,4,3,mother,1,2,0,0,1,1,1,1,1,1,4,5,2,1,1,5,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,28.75
33,GP,3,3,mother,1,2,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.5
34,GP,3,2,mother,1,1,0,0,1,0,0,1,1,0,5,4,3,1,1,5,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,21.25
35,GP,2,3,father,2,1,0,0,1,1,1,1,0,0,3,5,1,1,1,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26.25
36,GP,4,3,mother,1,3,0,0,1,1,1,1,1,0,5,4,3,1,1,4,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,27.75
37,GP,4,4,mother,2,3,0,0,1,1,1,1,1,1,2,4,3,1,1,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,27.0
38,GP,3,4,mother,1,3,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,28.75
39,GP,2,2,mother,1,1,0,1,1,1,1,1,0,0,4,3,1,1,1,2,8,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,23.0
40,GP,2,2,mother,2,2,0,0,1,1,0,1,1,1,3,3,3,1,2,3,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.0
41,GP,4,4,other,1,1,0,0,1,0,0,1,1,1,5,4,3,2,4,5,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,21.0
42,GP,4,4,father,1,2,0,0,1,1,1,1,1,0,4,3,3,1,1,5,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,29.0
43,GP,2,2,father,1,1,0,1,1,0,1,1,1,0,5,4,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,18.0
44,GP,2,2,father,2,2,1,1,0,1,1,1,1,0,4,3,3,2,2,5,14,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,17.0
45,GP,4,3,mother,1,2,0,1,1,1,1,1,1,1,5,2,2,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.75
46,GP,3,3,mother,1,2,0,0,1,0,1,1,1,0,2,3,5,1,4,3,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12.5
47,GP,4,3,mother,1,4,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,20.75
48,GP,4,2,mother,1,2,0,0,1,0,1,1,0,0,4,3,3,2,2,5,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,19.5
49,GP,4,4,father,1,2,0,1,1,1,0,1,1,0,4,4,4,1,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,26.0
50,GP,2,2,mother,3,2,0,0,1,0,1,1,1,0,4,3,3,2,3,4,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,15.0
51,GP,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,3,3,1,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21.5
52,GP,4,2,father,2,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.5
53,GP,4,4,mother,1,1,0,1,1,0,1,1,1,0,3,3,4,2,3,5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,19.0
54,GP,3,3,mother,1,1,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
55,GP,2,1,mother,1,2,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75
56,GP,4,3,mother,1,2,0,0,1,1,1,1,1,0,4,3,2,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,24.75
57,GP,4,4,mother,1,2,0,0,1,1,1,1,0,0,3,2,2,1,1,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,29.0
58,GP,1,2,father,1,2,0,1,1,1,1,1,1,0,4,3,2,1,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,23.75
59,GP,4,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,3,1,1,5,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,21.5
60,GP,4,4,mother,1,2,0,0,1,1,1,1,0,0,2,4,4,2,3,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,22.0
61,GP,1,1,father,4,1,0,1,1,1,0,1,1,1,5,5,5,5,5,5,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,12.5
62,GP,1,2,father,1,2,0,1,0,1,1,1,1,0,4,4,3,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,13.75
63,GP,4,3,mother,1,3,0,1,1,1,1,1,1,0,3,4,4,2,4,4,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,20.75
64,GP,4,3,father,1,2,0,1,0,1,1,1,1,1,4,4,4,2,4,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,14.75
65,GP,4,3,mother,3,2,0,0,1,1,1,1,1,0,5,4,3,1,2,1,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,23.75
66,GP,4,4,mother,1,4,0,0,1,1,0,1,1,1,1,3,3,5,5,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,16.0
67,GP,3,1,mother,1,4,0,1,1,0,1,1,1,0,4,3,3,1,2,5,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
68,GP,2,2,mother,2,2,0,1,1,0,1,1,1,0,4,1,3,1,3,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,16.0
69,GP,3,1,father,2,4,0,0,1,0,0,1,1,0,4,4,2,2,3,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.0
70,GP,3,1,father,2,4,0,0,1,0,1,1,1,0,4,3,2,1,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,20.0
71,GP,4,2,mother,1,4,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,13.5
72,GP,1,1,mother,1,2,0,1,1,0,0,1,1,1,3,3,4,2,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10.5
73,GP,3,1,mother,1,1,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,19.0
74,GP,3,3,mother,1,2,0,1,1,1,1,1,1,0,4,3,3,2,4,5,4,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,22.5
75,GP,4,3,mother,1,2,0,0,1,1,1,1,1,0,4,3,3,2,3,5,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,24.75
76,GP,4,0,mother,2,4,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,14.0
77,GP,2,2,mother,1,4,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11.0
78,GP,2,1,mother,2,1,3,1,1,1,1,0,1,0,4,5,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,17.75
79,GP,3,4,mother,1,2,0,0,1,0,1,1,1,0,2,4,3,1,2,3,14,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,17.75
80,GP,2,3,father,1,1,0,1,1,1,0,1,1,1,3,2,2,1,3,3,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,21.25
81,GP,2,3,mother,1,3,0,1,0,0,0,1,1,0,5,3,2,1,2,5,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,16.25
82,GP,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,4,4,1,1,5,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,19.25
83,GP,2,2,mother,2,2,0,0,0,1,1,1,1,0,5,3,3,1,3,4,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,17.0
84,GP,1,1,father,1,2,0,0,1,1,0,1,1,0,4,3,2,2,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,18.5
85,GP,4,4,father,2,2,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,15.0
86,GP,2,2,mother,1,2,0,0,1,0,1,1,0,0,4,3,4,1,2,2,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,14.0
87,GP,4,2,mother,1,3,0,0,1,1,1,1,1,0,5,3,3,1,3,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,21.5
88,GP,2,2,father,2,2,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,18.0
89,GP,4,4,mother,1,2,0,0,1,0,1,1,0,0,4,1,3,3,5,5,6,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,18.0
90,GP,3,3,mother,1,3,0,0,1,0,1,1,1,1,4,3,3,1,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,18.5
91,GP,4,3,mother,1,1,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,14.75
92,GP,3,1,father,1,2,0,1,1,0,1,1,0,0,3,3,3,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.0
93,GP,4,2,mother,2,2,0,0,1,1,1,1,1,0,5,3,3,1,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,23.5
94,GP,2,2,mother,1,4,0,0,1,1,1,1,1,0,4,3,4,1,1,4,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,22.0
95,GP,1,1,mother,2,4,0,1,1,1,1,1,1,0,3,1,2,1,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,17.5
96,GP,4,3,mother,2,1,0,1,1,1,0,1,1,0,3,3,3,1,1,4,6,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,25.75
97,GP,2,1,mother,1,2,0,0,1,0,1,1,0,1,4,3,5,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15.75
98,GP,4,4,mother,1,1,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,19.0
99,GP,4,3,mother,1,3,0,1,1,0,1,1,1,0,5,3,5,1,1,3,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,19.75
100,GP,4,4,mother,1,1,0,1,1,1,1,1,1,0,4,5,5,5,5,4,12,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,18.0
101,GP,4,4,father,1,3,0,0,1,1,1,1,1,1,4,4,3,1,1,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,28.0
