,school,sex,age,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor
0,GP,F,18,4,4,mother,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,GP,F,17,1,1,father,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2,GP,F,15,1,1,mother,1,2,3,1,0,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,GP,F,15,4,2,mother,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
4,GP,F,16,3,3,father,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
5,GP,M,16,4,3,mother,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
6,GP,M,16,2,2,mother,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,GP,F,17,4,4,mother,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,GP,M,15,3,2,mother,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,GP,M,15,3,4,mother,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
10,GP,F,15,4,4,mother,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
11,GP,F,15,2,1,father,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
12,GP,M,15,4,4,father,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
13,GP,M,15,4,3,mother,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
