,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,address_type_Urban,famsize_BIG_FAMILY,Pstatus_Together,Mjob_at_home,Mjob_health,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_reputation,tutor
0,4,4,2,2,0,1,0,0,1,1,0,0,4,3,4,1,1,3,6,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,2,0,0,1,0,0,1,1,0,5,3,3,1,1,3,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2,1,1,1,2,3,1,0,0,1,1,1,0,4,3,2,2,3,3,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,4,2,1,3,0,0,1,1,1,1,1,1,3,2,2,1,1,5,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
4,3,3,1,2,0,0,1,0,1,1,0,0,4,3,2,1,2,5,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
5,4,3,1,2,0,0,1,1,1,1,1,0,5,4,2,1,2,5,10,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
6,2,2,1,2,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,4,4,2,2,0,1,1,0,1,1,0,0,4,1,4,1,1,1,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,3,2,1,2,0,0,1,0,1,1,1,0,4,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,3,4,1,2,0,0,1,1,1,1,1,0,5,5,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
10,4,4,1,2,0,0,1,0,1,1,1,0,3,3,3,1,2,2,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
11,2,1,3,3,0,0,1,1,1,1,1,0,5,2,2,1,1,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
12,4,4,1,1,0,0,1,1,1,1,1,0,4,3,3,1,3,5,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
13,4,3,2,2,0,0,1,0,1,1,1,0,5,4,3,1,2,3,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
14,2,2,1,3,0,0,1,0,1,1,1,1,4,5,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,4,4,1,1,0,0,1,0,1,1,1,0,4,4,4,1,2,2,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
16,4,4,1,3,0,0,1,1,1,1,1,0,3,2,3,1,2,2,6,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
17,3,3,3,2,0,1,1,1,1,1,0,0,5,3,2,1,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
